assessment_id,plant_id,standard_name,standard_version,assessed_date,preliminary,cultivation_score,cultivation_weight,cultivation_reason,provenance_score,provenance_weight,provenance_reason,natural_score,natural_weight,natural_reason,taxonomic_score,taxonomic_weight,taxonomic_reason,weighted_total,stars,label
STA-006@stapelia-1.0@2026-09-14,STA-006,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,En känd stapeliadhybrid som återkommer hos specialister men inte i bred handel.,3,0.2,"Det traditionellt angivna parentaget H. hystrix × H. pendula är dokumenterat, men klonursprung saknas.",0,0.15,Hybriden har ingen egen naturlig utbredning.,3,0.15,Ett etablerat historiskt hybridnamn med tydlig samlaridentitet.,2.05,2,Uncommon
STA-034@stapelia-1.0@2026-09-14,STA-034,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Namngiven hybrid som finns hos ett fåtal stapeliadspecialister.,2,0.2,"Kultivarnamnet är bevarat, men föräldraskap och upphov saknas.",0,0.15,Som horticulturell hybrid har den ingen egen naturlig utbredning.,2,0.15,Ett namngivet odlingsmaterial med måttligt samlarhistoriskt värde.,1.70,2,Uncommon
STA-016@stapelia-1.0@2026-09-14,STA-016,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,"Exakt Clone B är specialisthandelsmaterial, även om nuvarande leverantör har god lagerhållning.",2,0.2,"Klon B och färgbeskrivningen är dokumenterade, men fältnummer och lokalitet saknas.",4,0.15,Arten är begränsad till sydvästra Arabiska halvön och anges som prioriterad för bevarande i Saudiarabien.,4,0.15,Klonmaterial med en tydlig taxonomisk historia via Pachycymbium och Orbea.,3.10,3,Rare
STA-009@stapelia-1.0@2026-09-14,STA-009,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Ovanlig specialistväxt men samtidigt tillgänglig från flera nischade säljare.,1,0.2,"Leverantören är känd, men just detta exemplar saknar lokalitet och fältnummer.",5,0.15,Sydafrikansk endem med EOO under 500 km² och färre än fem kända delpopulationer.,4,0.15,"Har flyttats mellan Stultitia, Orbeanthus, Stapelianthus och Orbea och är starkt samlarintressant.",3.05,3,Rare
STA-010@stapelia-1.0@2026-09-14,STA-010,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Återkommande hos stapeliadspecialister men ovanlig i allmän handel.,1,0.2,"Leverantören är känd, men lokalitet och fältnummer saknas.",2,0.15,Arten är regionalt spridd och bedöms som livskraftig i Sydafrika.,2,0.15,Äldre handelsnamn som Caralluma och Orbeopsis ger ett visst taxonomiskt intresse.,1.80,2,Uncommon
STA-020@stapelia-1.0@2026-09-14,STA-020,Samlarraritet Stapelia,1.0,2026-09-14,true,4,0.5,Det exakta hybridmaterialet verkar ha mycket begränsad spridning utanför den aktuella leverantören.,2,0.2,Ett parentage finns angivet men inköpsnamnet ”O. speciosa × variagata” och katalogtolkningen behöver verifieras.,0,0.15,Hybriden har ingen egen naturlig utbredning.,3,0.15,"Intressant korsningsmaterial där den ena påstådda föräldern är en naturligt sällsynt Orbea, men identiteten är osäker.",2.85,3,Rare
STA-019@stapelia-1.0@2026-09-14,STA-019,Samlarraritet Stapelia,1.0,2026-09-14,true,3,0.5,Den gula lutea-formen är specialistmaterial och betydligt mindre spridd än generisk O. semota.,2,0.2,"Formbeteckningen är bevarad, men lokalitet och klonnummer saknas.",3,0.15,"Artbakgrunden är regionalt begränsad i östra Afrika, men exakt koppling för odlingsformen är inte visad.",4,0.15,Materialet är känt för namnförvirring mellan O. semota var. lutea och O. lutea.,2.95,3,Rare
STA-015@stapelia-1.0@2026-09-14,STA-015,Samlarraritet Stapelia,1.0,2026-09-14,true,4,0.5,Det exakta Cypro-materialet syns huvudsakligen hos en enstaka specialist.,1,0.2,"Odlingsbeteckningen är bevarad, men klonursprung, lokalitet och fältnummer saknas.",0,0.15,Ingen naturgeografisk poäng ges eftersom det inte är ett verifierat vildtaxon.,4,0.15,Ett gåtfullt odlingsmaterial med hög samlarnyfikenhet men låg taxonomisk säkerhet.,2.80,3,Rare
STA-033@stapelia-1.0@2026-09-14,STA-033,Samlarraritet Stapelia,1.0,2026-09-14,false,0,0.5,En av de allra vanligaste stapeliaderna i odling och brett tillgänglig.,1,0.2,"Fröpartiets säljare och köp är dokumenterade, men naturproveniens saknas.",1,0.15,En relativt vid och livskraftig sydafrikansk art.,1,0.15,"Historiskt viktig typ av stapeliad, men det aktuella materialet saknar särskild klonidentitet.",0.50,1,Common
STA-032@stapelia-1.0@2026-09-14,STA-032,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Exakt foetidus-material från Dysseldorp är mer begränsat än den generiska arten.,3,0.2,"Lokaliteten Dysseldorp är dokumenterad, även om fältnummer saknas.",2,0.15,Arten som helhet bedöms som livskraftig; lokalitetsklonen är geografiskt snävare.,3,0.15,Ett spårbart lokalitetsmaterial med äldre varietets-/formnamn som inte används som accepterad rang.,2.85,3,Rare
STA-002@stapelia-1.0@2026-09-14,STA-002,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Det exakta globosus-materialet är specialistmaterial trots att P. geminatus som art inte är ovanlig.,1,0.2,"Leverantören och handelsnamnet är kända, men lokalitet och accession saknas.",2,0.15,Artbakgrunden är livskraftig och inte särskilt snävt utbredd.,3,0.15,Det äldre namnet Piaranthus globosus ger ett tydligt namn- och materialhistoriskt intresse.,2.45,2,Uncommon
STA-018@stapelia-1.0@2026-09-14,STA-018,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,"En tydlig specialistväxt, men tillgänglig hos mer än en stapeliadhandlare.",1,0.2,"Leverantör och taxon är kända, men lokalitet och fältnummer saknas.",2,0.15,Varieteten bedöms som livskraftig i Sydafrika.,3,0.15,En accepterad varietet som länge cirkulerat som den egna arten Piaranthus framesii.,2.45,2,Uncommon
STA-004@stapelia-1.0@2026-09-14,STA-004,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Trots marknadsföring som mycket sällsynt finns arten hos flera internationella specialister.,1,0.2,"Leverantören är känd, men lokalitet och accession saknas.",4,0.15,Endemisk för södra Madagascar och bedömd med förutsagd hotrisk.,3,0.15,Representerar den särpräglade madagaskiska Stapelianthus-linjen.,2.25,2,Uncommon
STA-008@stapelia-1.0@2026-09-14,STA-008,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Arten finns hos specialister men exakta lokalitetsmaterial är fortsatt begränsade.,4,0.2,Buffeljachte vid Swellendam i Cape Province är dokumenterat; endast fältnummer saknas.,5,0.15,"Sydafrikansk endem bedömd som sårbar, med mycket begränsad utbredning.",4,0.15,"Historisk art med en bevarad, exakt naturgeografisk materialidentitet.",3.65,4,Very rare
STA-022@stapelia-1.0@2026-09-14,STA-022,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Ovanlig utanför specialisthandeln men återkommande som både frö och namngivna kloner.,1,0.2,"Fröleverantören är känd, men lokalitet och fältnummer saknas.",2,0.15,Arten bedöms som livskraftig och är inte dokumenterad som snäv hotad endem.,2,0.15,En distinkt art men det aktuella frömaterialet saknar särskild populationsidentitet.,2.30,2,Uncommon
STA-021@stapelia-1.0@2026-09-14,STA-021,Samlarraritet Stapelia,1.0,2026-09-14,false,0,0.5,En av de mest spridda stapeliaderna i odling.,0,0.2,Artkortet samlar två fröpartier men saknar naturproveniens och gemensam accession.,2,0.15,Regionalt spridd och bedömd som livskraftig där den är nationellt bedömd.,1,0.15,Klassisk art men utan särskilt dokumenterat materialvärde i denna post.,0.45,1,Common
STA-003@stapelia-1.0@2026-09-14,STA-003,Samlarraritet Stapelia,1.0,2026-09-14,false,0,0.5,Tillsammans med S. gigantea och O. variegata hör den till de mest odlade stapeliaderna.,1,0.2,"Leverantören är känd, men lokalitet och accession saknas.",2,0.15,Arten är regionalt spridd och dess varieteter bedöms som livskraftiga i Sydafrika.,1,0.15,Klassisk art utan särskild klon- eller lokalitetshistoria i den aktuella posten.,0.65,1,Common
STA-025@stapelia-1.0@2026-09-14,STA-025,Samlarraritet Stapelia,1.0,2026-09-14,false,0,0.5,Normalformen är en av de vanligaste Stapelia-arterna i odling.,1,0.2,"Fröleverantören är känd, men varietet, lokalitet och fältnummer saknas.",2,0.15,"Arten som registrerad motsvarar inget av de hotade, snäva varietetsmaterialen.",1,0.15,Generiskt artmaterial utan identifierad varietet eller klon.,0.65,1,Common
STA-026@stapelia-1.0@2026-09-14,STA-026,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,Specialistmaterial som förekommer hos några säljare men inte är brett spritt.,1,0.2,"Fröleverantör och underart är kända, men naturproveniens saknas.",4,0.15,Endemisk för sydvästra Kapprovinsen och bedömd som sårbar.,3,0.15,"Accepterad underart med flera historiska namn, bland annat Stapelia scitula.",2.75,3,Rare
STA-013@stapelia-1.0@2026-09-14,STA-013,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Varieteten finns hos flera specialistodlare och har periodvis god lagerhållning.,1,0.2,"Leverantör och varietetsidentitet är kända, men lokalitet och fältnummer saknas.",3,0.15,Ett regionalt sydvästafrikanskt varietetsmaterial snarare än en brett spridd artform.,3,0.15,Har cirkulerat både som Stapelia bergeriana och som varietet av S. schinzii.,2.10,2,Uncommon
STA-027@stapelia-1.0@2026-09-14,STA-027,Samlarraritet Stapelia,1.0,2026-09-14,false,4,0.5,Det exakta artmaterialet förekommer endast sporadiskt hos få frö- och plantsäljare.,1,0.2,"Fröleverantören är känd, men lokalitet och fältnummer saknas.",2,0.15,Arten bedöms som livskraftig och är inte en dokumenterad snäv hotad endem.,3,0.15,Har en tydlig namnresa från Stapelia och Tridentea till Tromotriche.,2.95,3,Rare
STA-024@stapelia-1.0@2026-09-14,STA-024,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,En nischad stapeliad men tillgänglig som både frö och planta från flera säljare.,1,0.2,"Fröleverantören är känd, men lokalitet och fältnummer saknas.",1,0.15,En vitt utbredd sydafrikansk art som bedöms som livskraftig.,2,0.15,Det äldre namnet Stapelia gemmiflora ger ett måttligt historiskt namnintresse.,1.65,2,Uncommon
STA-023@stapelia-1.0@2026-09-14,STA-023,Samlarraritet Stapelia,1.0,2026-09-14,false,2,0.5,Arten och dess tigrida-former cirkulerar återkommande bland specialister.,1,0.2,"Fröleverantören är känd, men varietet, lokalitet och fältnummer saknas.",2,0.15,Arten bedöms som livskraftig och är inte extremt geografiskt begränsad.,2,0.15,Har länge sålts under det äldre namnet Stapelia revoluta.,1.80,2,Uncommon
STA-014@stapelia-1.0@2026-09-14,STA-014,Samlarraritet Stapelia,1.0,2026-09-14,false,3,0.5,En namngiven intergenerisk hybrid som främst cirkulerar bland stapeliadspecialister.,3,0.2,"Kultivarnamn och publicerat parentage Tavaresia barklyi × Orbea variegata är spårbara, även om klonnummer saknas.",0,0.15,Som horticulturell hybrid har den ingen egen naturlig utbredning.,4,0.15,Historiskt beskriven intergenerisk hybrid från början av 1990-talet med tydlig samlaridentitet.,2.70,3,Rare
